Date,Max_Temp_C,Min_Temp_C,Humidity_Pct,THI
2016-03-28,15.48,-2.58,63.39,59.468612
2016-03-29,12.73,3.04,77.02,55.297765999999996
2016-03-30,13.76,2.69,87.56,56.847616
2016-03-31,10.78,1.39,83.2,52.012159999999994
2016-04-01,5.78,-2.05,65.48,45.379624
2016-04-02,8.96,-2.36,59.77,50.316512
2016-04-03,24.11,2.01,65.41,72.039311
2016-04-04,11.24,-2.01,64.43,53.356012
2016-04-05,14.98,1.84,74.45,58.81581
2016-04-06,9.86,1.38,73.88,50.933848
2016-04-07,10.13,0.47,69.77,51.524821
2016-04-08,6.17,-5.35,63.67,46.095959
2016-04-09,10.17,-5.58,57.45,52.105865
2016-04-10,13.61,1.83,69.94,56.735473999999996
2016-04-11,7.69,-3.83,56.59,48.754811
2016-04-12,17.45,-3.84,54.09,62.009744999999995
2016-04-13,23.74,4.66,61.95,71.17813
2016-04-14,22.61,9.29,63.99,69.741579
2016-04-15,23.14,8.19,67.33,70.79664199999999
2016-04-16,22.57,13.28,74.57,70.54836900000001
2016-04-17,21.81,12.49,78.83,69.689303
2016-04-18,18.1,5.83,90.37,64.22369
2016-04-19,17.62,2.67,76.73,62.966706
2016-04-20,12.48,10.56,91.27,54.631616
2016-04-21,19.71,7.48,76.66,66.238646
2016-04-22,17.73,2.4,71.76,62.973608
2016-04-23,23.17,6.53,72.46,71.290742
2016-04-24,23.87,14.07,80.84,73.15154799999999
2016-04-25,19.54,7.95,76.36,65.956904
2016-04-26,17.95,5.42,78.86,63.559529999999995
2016-04-27,8.58,4.96,89.46,48.057428
2016-04-28,8.31,2.55,84.62,47.894642
2016-04-29,12.25,1.36,80.26,54.47441
2016-04-30,7.53,5.14,89.16,46.298708
2016-05-01,14.3,4.44,76.4,57.7636
2016-05-02,16.34,2.92,61.43,60.663742
2016-05-03,19.93,5.23,60.19,65.672507
2016-05-04,19.8,4.66,61.55,65.5637
2016-05-05,24.58,8.07,56.54,71.819772
2016-05-06,28.38,10.85,64.17,78.074966
2016-05-07,18.46,12.05,61.38,63.660028
2016-05-08,21.52,9.96,63.43,68.132216
2016-05-09,21.71,10.28,86.45,70.087495
2016-05-10,22.45,12.47,81.33,70.907065
2016-05-11,20.06,8.63,76.63,66.785258
2016-05-12,17.61,6.36,65.08,62.577068
2016-05-13,13.15,2.7,58.99,56.182625
2016-05-14,13.39,-0.44,62.03,56.485497
2016-05-15,18.2,3.68,62.7,63.3426
2016-05-16,15.29,4.71,73.7,59.287929999999996
2016-05-17,19.1,6.61,69.19,64.93193
2016-05-18,20.52,4.97,63.49,66.701588
2016-05-19,21.14,8.15,69.01,67.963274
2016-05-20,18.91,7.88,75.94,64.952894
2016-05-21,21.84,8.82,71.64,69.202016
2016-05-22,25.36,9.62,74.41,74.843336
2016-05-23,23.33,17.22,91.06,73.195658
2016-05-24,28.2,14.88,73.73,79.13474
2016-05-25,24.73,16.42,83.38,74.797154
2016-05-26,26.14,12.36,69.94,75.522956
2016-05-27,21.73,15.72,83.99,69.940467
2016-05-28,20.4,13.45,85.99,67.8794
2016-05-29,25.42,11.42,73.52,74.83790400000001
2016-05-30,25.24,16.32,79.33,75.191372
2016-05-31,22.8,14.26,72.29,70.71236
2016-06-01,22.4,11.19,67.85,69.74799999999999
2016-06-02,26.4,9.97,65.36,75.3632
2016-06-03,25.27,14.47,76.86,74.970682
2016-06-04,21.97,13.05,74.36,69.605052
2016-06-05,27.78,11.56,65.88,77.438744
2016-06-06,22.64,11.68,63.98,69.783952
2016-06-07,23.44,9.87,64.77,71.007208
2016-06-08,28.86,15.44,69.19,79.492874
2016-06-09,32.13,19.36,73.93,85.21178900000001
2016-06-10,32.55,20.78,76.65,86.351975
2016-06-11,33.94,21.32,76.11,88.42389399999999
2016-06-12,32.33,22.55,71.14,85.019402
2016-06-13,25.67,20.74,80.17,75.971159
2016-06-14,28.65,20.48,82.81,81.120425
2016-06-15,29.74,18.74,69.57,80.864038
2016-06-16,30.49,16.0,72.5,82.45724999999999
2016-06-17,28.75,20.51,83.11,81.326285
2016-06-18,29.38,18.99,77.3,81.48354
2016-06-19,31.55,20.1,75.78,84.63627
2016-06-20,27.21,17.79,60.91,75.970571
2016-06-21,28.07,15.35,60.53,77.130451
2016-06-22,29.96,17.89,74.13,81.90262799999999
2016-06-23,25.68,14.25,69.15,74.74412
2016-06-24,28.67,16.42,75.89,80.165503
2016-06-25,29.82,19.54,76.94,82.120148
2016-06-26,30.18,15.23,54.06,79.074668
2016-06-27,28.26,16.9,61.5,77.53190000000001
2016-06-28,23.53,14.03,63.17,70.991421
2016-06-29,25.14,17.14,82.16,75.335984
2016-06-30,27.19,14.28,69.54,77.046166
2016-07-01,23.06,10.57,62.18,70.232788
2016-07-02,23.34,14.42,72.06,71.514164
2016-07-03,25.22,11.52,71.22,74.282004
2016-07-04,29.26,15.09,75.6,81.04216
2016-07-05,32.23,17.93,75.9,85.71697
2016-07-06,29.94,19.66,70.19,81.259526
2016-07-07,27.83,17.35,84.13,79.962659
2016-07-08,27.89,15.32,63.93,77.336157
2016-07-09,28.88,16.07,70.17,79.664616
2016-07-10,29.82,19.93,82.06,82.909652
2016-07-11,31.57,20.34,78.16,85.07607200000001
2016-07-12,29.71,14.62,52.01,78.130731
2016-07-13,30.22,17.78,62.75,80.50305
2016-07-14,28.09,15.79,54.71,76.361799
2016-07-15,26.92,12.91,64.32,75.988864
2016-07-16,28.28,13.97,76.84,79.689392
2016-07-17,30.36,19.12,72.49,82.25740400000001
2016-07-18,29.94,16.74,69.41,81.13831400000001
2016-07-19,28.41,22.25,87.15,81.337715
2016-07-20,34.98,22.54,75.04,89.827232
2016-07-21,35.7,23.99,69.7,89.80610000000001
2016-07-22,33.83,24.8,76.08,88.246344
2016-07-23,34.24,25.28,72.35,88.14624
2016-07-24,30.36,18.82,57.52,79.868192
2016-07-25,32.79,16.81,50.88,81.988832
2016-07-26,33.53,18.62,54.76,83.699588
2016-07-27,31.58,20.96,62.63,82.423834
2016-07-28,28.68,17.55,62.43,78.259004
2016-07-29,27.89,16.47,59.53,76.742597
2016-07-30,29.8,16.42,59.02,79.32908
2016-07-31,29.91,18.46,71.51,81.419201
2016-08-01,30.13,20.82,83.52,83.641696
2016-08-02,32.82,21.51,77.58,86.946236
2016-08-03,33.04,21.54,74.31,86.68338399999999
2016-08-04,31.0,20.13,65.2,82.0232
2016-08-05,29.37,15.83,52.28,77.722316
2016-08-06,28.81,16.92,51.59,76.882119
2016-08-07,29.01,17.22,55.43,77.706323
2016-08-08,29.79,16.71,62.11,79.790729
2016-08-09,34.14,19.6,66.05,86.75027
2016-08-10,34.04,22.51,70.29,87.43695600000001
2016-08-11,32.29,23.58,82.75,87.03597500000001
2016-08-12,28.16,18.72,74.9,79.23424
2016-08-13,29.04,15.93,62.71,78.812744
2016-08-14,29.41,15.05,59.2,78.81392
2016-08-15,29.78,16.31,62.51,79.83803800000001
2016-08-16,31.69,18.63,65.67,83.10634300000001
2016-08-17,32.39,17.99,58.91,82.909909
2016-08-18,36.44,20.02,59.99,88.773796
2016-08-19,25.03,17.04,78.64,74.783432
2016-08-20,23.8,13.63,64.34,71.48796
2016-08-21,27.76,10.99,54.58,75.899888
2016-08-22,31.62,15.75,51.32,80.533304
2016-08-23,29.12,18.1,80.62,81.563264
2016-08-24,28.35,16.35,62.27,77.766665
2016-08-25,26.88,14.15,54.46,74.700608
2016-08-26,24.26,13.08,61.33,71.855138
2016-08-27,28.91,15.83,69.14,79.560214
2016-08-28,31.8,18.18,74.74,84.84476000000001
2016-08-29,28.03,20.94,83.08,80.14780400000001
2016-08-30,27.89,17.91,73.57,78.636593
2016-08-31,30.43,14.35,53.6,79.33608000000001
2016-09-01,28.41,14.54,59.11,77.409311
2016-09-02,26.39,12.98,63.41,75.114859
2016-09-03,27.37,15.02,67.81,77.090957
2016-09-04,25.1,16.87,85.38,75.61566
2016-09-05,30.01,19.42,81.15,83.075515
2016-09-06,24.33,18.29,88.25,74.627225
2016-09-07,24.08,17.63,91.54,74.525072
2016-09-08,26.02,12.56,65.64,74.843368
2016-09-09,24.2,12.12,84.17,74.00865999999999
2016-09-10,22.14,10.09,65.53,69.184022
2016-09-11,26.74,11.79,58.19,74.972646
2016-09-12,25.24,13.92,74.08,74.622272
2016-09-13,15.89,9.57,75.05,60.230245
2016-09-14,22.59,6.98,70.2,70.22138
2016-09-15,24.22,15.87,92.31,74.840842
2016-09-16,22.75,14.33,79.74,71.25829
2016-09-17,23.0,12.02,71.09,70.91374
2016-09-18,27.67,13.63,73.11,78.237697
2016-09-19,25.26,15.5,70.82,74.299052
2016-09-20,29.93,13.92,76.98,82.298994
2016-09-21,30.13,22.53,79.97,83.083281
2016-09-22,28.21,20.88,87.1,80.99651
2016-09-23,29.64,20.15,76.76,81.810224
2016-09-24,26.81,15.29,85.57,78.467237
2016-09-25,19.54,9.81,64.79,65.362206
2016-09-26,21.03,6.43,57.02,67.004426
2016-09-27,21.8,6.49,58.48,68.16752
2016-09-28,18.65,5.65,73.45,64.441625
2016-09-29,19.94,7.4,79.27,66.74355800000001
2016-09-30,21.1,7.74,76.31,68.39277
2016-10-01,20.27,9.88,83.07,67.492209
2016-10-02,23.09,10.97,78.12,71.660628
2016-10-03,23.75,11.91,78.51,72.740685
2016-10-04,18.16,12.36,91.53,64.369528
2016-10-05,19.11,6.89,70.37,65.002427
2016-10-06,14.27,2.92,76.77,57.716198999999996
2016-10-07,12.77,-0.06,71.92,55.443704
2016-10-08,16.55,2.65,71.65,61.180475
2016-10-09,19.86,2.31,69.84,66.101264
2016-10-10,18.04,9.84,79.12,63.711968
2016-10-11,17.36,6.45,83.09,62.747463999999994
2016-10-12,10.36,1.92,67.32,51.968272
2016-10-13,14.85,-1.08,65.36,58.57412
2016-10-14,19.28,4.85,80.63,65.75874400000001
2016-10-15,21.49,11.21,82.06,69.410054
2016-10-16,22.79,9.48,82.04,71.51515599999999
2016-10-17,23.95,11.62,88.4,74.0022
2016-10-18,18.89,7.65,71.6,64.72684
2016-10-19,12.62,5.59,73.69,55.184318
2016-10-20,12.61,0.4,67.89,55.272769
2016-10-21,17.53,0.93,73.27,62.717351
2016-10-22,20.49,3.5,64.87,66.742583
2016-10-23,16.29,5.37,71.8,60.789019999999994
2016-10-24,14.59,4.02,76.89,58.218091
2016-10-25,14.97,6.14,80.12,58.832684
2016-10-26,14.05,4.55,86.48,57.33732
2016-10-27,20.16,3.61,83.81,67.355456
2016-10-28,23.57,11.15,76.88,72.305896
2016-10-29,13.08,4.61,83.15,55.76642
2016-10-30,10.81,0.9,78.01,52.247441
2016-10-31,18.61,6.47,89.17,65.042057
2016-11-01,18.83,7.56,66.6,64.41438
2016-11-02,18.04,6.96,71.06,63.418583999999996
2016-11-03,19.29,4.19,65.21,65.020769
2016-11-04,20.48,6.4,58.09,66.315872
2016-11-05,21.72,5.36,68.73,68.807036
2016-11-06,18.89,7.92,69.76,64.64422400000001
2016-11-07,14.02,6.92,81.3,57.30706
2016-11-08,14.09,2.43,70.91,57.452179
2016-11-09,15.66,0.27,66.75,59.76905
2016-11-10,18.71,1.65,70.96,64.426376
2016-11-11,10.32,-0.17,76.75,51.5246
2016-11-12,12.42,-1.39,72.07,54.909014
2016-11-13,16.25,0.8,70.4,60.7024
2016-11-14,12.28,2.27,78.93,54.550684
2016-11-15,17.65,2.84,77.65,63.04362499999999
2016-11-16,14.98,3.31,78.62,58.839996
2016-11-17,10.71,3.99,88.1,51.71711
2016-11-18,3.37,-2.43,79.59,40.317223
2016-11-19,1.76,-8.2,71.93,38.716048
2016-11-20,4.24,-6.2,74.01,42.272583999999995
2016-11-21,6.4,-4.77,71.05,45.836
2016-11-22,1.41,-1.37,92.3,35.53823
2016-11-23,2.77,-3.1,91.98,37.91872599999999
2016-11-24,2.41,-3.18,93.31,37.140131
2016-11-25,6.48,-3.96,83.81,44.946248
2016-11-26,6.2,-2.99,80.27,44.777860000000004
2016-11-27,8.56,-2.49,96.88,47.590208
2016-11-28,7.2,1.83,83.11,46.17608
2016-11-29,3.08,-1.2,81.92,39.590655999999996
2016-11-30,1.43,-2.34,83.14,36.760742
2016-12-01,2.42,-3.9,84.48,38.215295999999995
2016-12-02,2.06,-3.57,82.7,37.842819999999996
2016-12-03,1.72,-4.13,87.35,36.700019999999995
2016-12-04,6.48,-2.34,84.89,44.860712
2016-12-05,5.15,-3.24,78.57,43.252275
2016-12-06,-3.26,-8.88,54.03,34.250302
2016-12-07,-5.85,-12.91,64.74,28.610149999999997
2016-12-08,-5.64,-12.01,71.62,27.535352
2016-12-09,-8.08,-13.6,80.01,21.949751999999997
2016-12-10,-4.18,-8.96,81.96,27.827832
2016-12-11,-2.61,-13.4,82.13,30.341687
2016-12-12,-1.24,-15.53,79.79,32.928844
2016-12-13,-6.83,-17.58,71.53,25.750180999999998
2016-12-14,-9.6,-17.64,74.39,20.8664
2016-12-15,-11.32,-18.44,76.68,17.621903999999997
2016-12-16,-8.85,-13.48,85.9,19.348249999999993
2016-12-17,-11.57,-24.12,77.38,17.048414
2016-12-18,-12.31,-25.13,82.1,14.623089999999998
2016-12-19,-3.15,-18.27,84.5,29.05025
2016-12-20,3.27,-4.85,84.09,39.656783
2016-12-21,5.46,-4.98,83.21,43.329026
2016-12-22,3.9,-7.33,84.92,40.6034
2016-12-23,1.06,-5.19,90.06,35.233996
2016-12-24,1.78,-6.29,94.66,35.877908
2016-12-25,6.75,-3.79,92.47,44.726045
2016-12-26,-0.95,-7.55,64.14,35.79451
2016-12-27,1.83,-10.19,83.18,37.408274
2016-12-28,5.12,-3.47,79.82,43.088704
2016-12-29,2.06,-5.89,79.93,38.18463799999999
2016-12-30,4.5,-8.04,82.3,41.8523
2016-12-31,-1.29,-6.08,74.38,33.697778
2017-01-01,-1.79,-8.85,89.6,30.461759999999998
2017-01-02,2.36,-4.77,90.31,37.414676
2017-01-03,-4.41,-15.98,73.02,29.136937999999997
2017-01-04,-14.44,-20.04,71.99,14.086084
2017-01-05,-13.45,-18.67,71.17,15.819154999999995
2017-01-06,-8.99,-19.93,76.27,21.368447
